Wilayah,Tahun,Jumlah Bayi Lahir,Jumlah Bayi BBLR,Jumlah Kurang Gizi
Kabupaten Jepara,2023,17905,720,4071
Kabupaten Demak,2023,18784,523,926
Kabupaten Semarang,2023,12028,421,2480
Kabupaten Temanggung,2023,8897,77,1533
Kabupaten Kendal,2023,13380,624,3075
Kabupaten Batang,2023,10509,465,2163
Kabupaten Pekalongan,2023,13758,837,2422
Kabupaten Pemalang,2023,22155,1179,3189
Kabupaten Tegal,2023,23193,1284,5330
Kabupaten Brebes,2023,27412,595,1348
Kota Magelang,2023,1096,29,225
Kota Surakarta,2023,9765,302,818
Kota Salatiga,2023,2246,22,346
Kota Semarang,2023,20036,555,816
Kota Pekalongan,2023,4887,317,997
Kota Tegal,2023,3410,497,928
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
