Wilayah,Tahun,Garis Kemiskinan Maret Rp,Jumlah Penduduk Miskin Maret Ribu Jiwa,Jumlah Penduduk Ribu Jiwa,Persentase Penduduk Miskin Maret
Kabupaten Grobogan,2024,489208,159.00,1506.37,10.56
Kabupaten Blora,2024,464959,99.14,907.99,10.92
Kabupaten Rembang,2024,518607,91.45,665.24,13.75
Kabupaten Pati,2024,559499,116.84,1370.82,8.52
Kabupaten Kudus,2024,550075,65.69,883.32,7.44
Kabupaten Jepara,2024,503832,80.84,1232.88,6.56
Kabupaten Demak,2024,535134,142.92,1252.97,11.41
Kabupaten Semarang,2024,520639,76.87,1089.77,7.05
Kabupaten Temanggung,2024,416086,68.77,814.88,8.44
Kabupaten Kendal,2024,488940,92.71,1064.81,8.71
Kabupaten Batang,2024,412196,68.85,838.19,8.21
Kabupaten Pekalongan,2024,505520,81.72,1019.01,8.02
Kabupaten Pemalang,2024,493593,194.20,1541.69,12.60
Kabupaten Tegal,2024,497315,98.02,1674.80,5.85
Kabupaten Brebes,2024,542495,283.28,2065.50,13.71
Kota Magelang,2024,626614,7.25,122.43,5.92
Kota Surakarta,2024,638102,43.28,528.04,8.20
Kota Salatiga,2024,596659,9.33,201.27,4.64
Kota Semarang,2024,671936,77.79,1708.83,4.55
Kota Pekalongan,2024,605312,21.16,321.10,6.59
Kota Tegal,2024,664922,19.17,285.84,6.71
