Wilayah,Tahun,Angka Penemuan TBC per 100.000 penduduk,Jumlah Kasus Baru AIDS,Penemuan Kasus Baru Kusta per 100.000 penduduk,Angka Kesakitan Malaria per 1.000 penduduk,Angka Kesakitan DBD per 100.000 penduduk
Kabupaten Kudus,2022,261,81,0.82,0.01,64.57
Kabupaten Jepara,2022,109,40,5.95,0.01,18.53
Kabupaten Demak,2022,136,20,1.64,0.01,24.93
Kabupaten Semarang,2022,69,25,1.12,0.01,8.42
Kabupaten Temanggung,2022,87,20,0.13,0.00,3.63
Kabupaten Kendal,2022,185,41,0.68,0.01,44.22
Kabupaten Batang,2022,144,41,4.18,0.00,45.71
Kabupaten Pekalongan,2022,176,7,6.18,0.00,67.21
Kabupaten Pemalang,2022,174,7,6.60,0.00,7.60
Kabupaten Tegal,2022,261,40,5.97,0.01,30.73
Kabupaten Brebes,2022,208,68,7.21,0.00,3.28
Kota Magelang,2022,817,4,0.00,0.00,50.96
Kota Surakarta,2022,370,77,0.57,0.03,31.74
Kota Salatiga,2022,510,70,0.51,0.03,28.71
Kota Semarang,2022,348,40,0.72,0.04,52.11
Kota Pekalongan,2022,251,23,13.24,0.01,40.68
Kota Tegal,2022,933,10,2.87,0.00,38.45
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
